City,Lat,Lon
"Zurich, Switzerland",47.369019,8.53803
"Washington, DC",38.907192,-77.036873
"Warsaw, Poland",52.229675,21.01223
"Vancouver, Canada",49.28273,-123.120735
"Tokyo, Japan",35.6828387,139.7594549
"Tel Aviv, Israel",32.0804808,34.7805274
"Taipei, Taiwan",25.08580655,121.5643556
"São Paulo, Brazil",-23.5506507,-46.6333824
"Sydney, Australia",-33.8548157,151.2164539
"Sunnyvale, CA",37.3688301,-122.0363496
"Stockholm, Sweden",59.3251172,18.0710935
Singapore,1.340863,103.8303918
"Shanghai, China",31.2322758,121.4692071
"Seattle, WA",47.6038321,-122.3300624
"Sausalito, CA",37.8590272,-122.4854694
"Santa Clara, CA",37.3541132,-121.9551744
"San Francisco, CA",37.78591078,-122.4014282
"Reston, VA",38.9583737,-77.3579805
"Redmond, WA",47.6694141,-122.1238767
"Prineville, OR",44.2998261,-120.834972
"Prague, Czech Republic",50.0596288,14.44645927
"Pittsburgh, PA",40.4416941,-79.9900861
"Paris, France",48.8588897,2.32004103
"Papillion, NE",41.1544433,-96.0422378
"Odense, Denmark",37.7031007,-95.2519248
"Northridge, CA",34.2345615,-118.5369316
"Nigeria, Remote",9.6000359,7.9999721
"Newton County, GA",33.5715512,-83.8446101
"New York, NY",40.7127281,-74.0060152
"New Albany, OH",40.0811745,-82.8087864
"Mumbai, India",18.9387711,72.8353355
"Mountain View, CA",37.3893889,-122.0832101
"Montreal, Canada",45.4972159,-73.6103642
"Milan, Italy",45.4542119,9.11135096
"Mexico City, Mexico",19.32055625,-99.15170107
"Menlo Park, CA",37.4519671,-122.1779927
"Manila, Philippines",14.5906216,120.9799696
"Madrid, Spain",40.4167047,-3.7035825
"Luleå, Sweden",65.58432753,22.17292607
"Los Lunas, NM",34.8142093,-106.7613067
"Los Angeles, CA",34.0536909,-118.2427666
"London, United Kingdom",51.5073219,-0.1276474
"Johannesburg, South Africa",-26.205,28.049722
"Jakarta, Indonesia",-6.1753942,106.827183
"Hyderabad, India",17.38878595,78.46106473
"Huntsville, AL",34.677972,-86.45546166
Hong Kong,22.2793278,114.1628131
"Henrico, VA",37.5455191,-77.4234124
"Hamburg, Germany",53.550341,10.000654
"Gurgaon, India",28.42826235,77.00270015
"Fremont, CA",37.5482697,-121.9885719
"Foster City, CA",37.5600336,-122.2688522
"Fort Worth, TX",32.753177,-97.3327459
"Forest City, NC",35.3340108,-81.8651028
"Eagle Mountain, Utah",40.3066676,-112.0147617
"Dublin, Ireland",53.3497645,-6.2602732
"Dubai, United Arab Emirates",25.0659637,55.1713403
"Denver, CO",39.7392364,-104.9848623
"Dallas, TX",32.7762719,-96.7968559
"Cork, Ireland",51.8979282,-8.4705806
"Copenhagen, Denmark",55.6867243,12.5700724
"Clonee, Ireland",53.4104332,-6.4404037
"Chicago, IL",41.8755616,-87.6244212
"Buenos Aires, Argentina",-34.6075682,-58.4370894
"Brussels, Belgium",50.8465573,4.351697
"Boston, MA",42.3602534,-71.0582912
"Berlin, Germany",52.5170365,13.3888599
"Bellevue, WA",47.6144219,-122.1923372
"Bangkok, Thailand",13.7542529,100.493087
"Bangalore, India",12.9791198,77.5912997
"Austin, TX",30.2711286,-97.7436995
"Ashburn, VA",39.0437192,-77.4874899
"Altoona, IA",41.6441557,-93.4646571
